Movie_ID,Title,Genre,Release_Year,Rating
501,Movie_Title_1,Romance,2020,7.2
502,Movie_Title_2,Sci-Fi,2016,7.5
503,Movie_Title_3,Thriller,2015,8.2
504,Movie_Title_4,Drama,2026,8.2
505,Movie_Title_5,Romance,2020,5.4
506,Movie_Title_6,Comedy,2019,6.1
507,Movie_Title_7,Comedy,2014,5.1
508,Movie_Title_8,Comedy,2025,7.9
509,Movie_Title_9,Action,2024,7.0
510,Movie_Title_10,Thriller,2016,8.4
511,Movie_Title_11,Sci-Fi,2025,6.9
512,Movie_Title_12,Comedy,2010,9.3
513,Movie_Title_13,Action,2023,6.1
514,Movie_Title_14,Thriller,2026,7.2
515,Movie_Title_15,Romance,2017,9.4
516,Movie_Title_16,Action,2024,5.6
517,Movie_Title_17,Sci-Fi,2026,9.7
518,Movie_Title_18,Romance,2020,9.6
519,Movie_Title_19,Sci-Fi,2026,7.0
520,Movie_Title_20,Romance,2024,9.3
521,Movie_Title_21,Thriller,2025,7.2
522,Movie_Title_22,Comedy,2018,8.7
523,Movie_Title_23,Romance,2025,8.0
524,Movie_Title_24,Drama,2024,5.4
525,Movie_Title_25,Drama,2017,6.3
526,Movie_Title_26,Drama,2012,5.7
527,Movie_Title_27,Comedy,2022,8.3
528,Movie_Title_28,Thriller,2016,5.3
529,Movie_Title_29,Sci-Fi,2020,7.6
530,Movie_Title_30,Sci-Fi,2011,6.0
531,Movie_Title_31,Sci-Fi,2022,9.3
532,Movie_Title_32,Romance,2010,9.1
533,Movie_Title_33,Romance,2022,7.3
534,Movie_Title_34,Drama,2019,8.6
535,Movie_Title_35,Sci-Fi,2017,7.3
536,Movie_Title_36,Drama,2023,7.3
537,Movie_Title_37,Sci-Fi,2020,8.2
538,Movie_Title_38,Sci-Fi,2015,9.0
539,Movie_Title_39,Comedy,2010,9.4
540,Movie_Title_40,Romance,2010,5.4
541,Movie_Title_41,Sci-Fi,2014,9.2
542,Movie_Title_42,Comedy,2011,6.2
543,Movie_Title_43,Drama,2016,7.2
544,Movie_Title_44,Drama,2022,6.3
545,Movie_Title_45,Sci-Fi,2018,9.0
546,Movie_Title_46,Sci-Fi,2010,8.6
547,Movie_Title_47,Action,2021,6.1
548,Movie_Title_48,Action,2011,8.6
549,Movie_Title_49,Comedy,2016,9.0
550,Movie_Title_50,Romance,2014,6.1
551,Movie_Title_51,Sci-Fi,2013,7.7
552,Movie_Title_52,Comedy,2024,8.4
553,Movie_Title_53,Drama,2015,7.9
554,Movie_Title_54,Thriller,2013,8.7
555,Movie_Title_55,Comedy,2019,5.5
556,Movie_Title_56,Action,2019,7.8
557,Movie_Title_57,Sci-Fi,2022,9.5
558,Movie_Title_58,Comedy,2012,7.8
559,Movie_Title_59,Thriller,2017,5.5
560,Movie_Title_60,Drama,2013,8.8
561,Movie_Title_61,Romance,2011,6.7
562,Movie_Title_62,Sci-Fi,2021,5.3
563,Movie_Title_63,Thriller,2020,5.1
564,Movie_Title_64,Sci-Fi,2025,5.5
565,Movie_Title_65,Drama,2024,8.4
566,Movie_Title_66,Sci-Fi,2015,8.5
567,Movie_Title_67,Thriller,2018,8.0
568,Movie_Title_68,Romance,2025,7.2
569,Movie_Title_69,Thriller,2018,6.5
570,Movie_Title_70,Comedy,2012,6.3
571,Movie_Title_71,Sci-Fi,2017,8.6
572,Movie_Title_72,Romance,2022,6.6
573,Movie_Title_73,Sci-Fi,2020,5.9
574,Movie_Title_74,Comedy,2021,8.8
575,Movie_Title_75,Drama,2018,9.2
576,Movie_Title_76,Thriller,2018,7.7
577,Movie_Title_77,Romance,2016,5.4
578,Movie_Title_78,Thriller,2023,7.3
579,Movie_Title_79,Comedy,2025,8.1
580,Movie_Title_80,Sci-Fi,2024,8.8
581,Movie_Title_81,Action,2019,6.1
582,Movie_Title_82,Thriller,2017,6.5
583,Movie_Title_83,Romance,2021,7.3
584,Movie_Title_84,Romance,2021,7.0
585,Movie_Title_85,Thriller,2020,6.7
586,Movie_Title_86,Sci-Fi,2018,6.5
587,Movie_Title_87,Comedy,2013,8.5
588,Movie_Title_88,Drama,2013,8.6
589,Movie_Title_89,Thriller,2015,5.9
590,Movie_Title_90,Thriller,2025,6.3
591,Movie_Title_91,Romance,2026,7.9
592,Movie_Title_92,Action,2016,6.4
593,Movie_Title_93,Drama,2015,6.5
594,Movie_Title_94,Thriller,2014,6.3
595,Movie_Title_95,Action,2019,8.3
596,Movie_Title_96,Comedy,2025,5.5
597,Movie_Title_97,Action,2019,7.3
598,Movie_Title_98,Sci-Fi,2020,5.9
599,Movie_Title_99,Action,2018,9.5
600,Movie_Title_100,Sci-Fi,2013,8.9
